0	mADJ	MST	PRIM	1750	0.99	254055
0	mINC	MST	PRIM	1750	0.99	93174015
0	LIST	MST	PRIM	1750	0.99	459817
1	mADJ	MST	PRIM	1750	0.99	249791
1	mINC	MST	PRIM	1750	0.99	94457341
1	LIST	MST	PRIM	1750	0.99	461940
2	mADJ	MST	PRIM	1750	0.99	246437
2	mINC	MST	PRIM	1750	0.99	90992031
2	LIST	MST	PRIM	1750	0.99	456534
3	mADJ	MST	PRIM	1750	0.99	247069
3	mINC	MST	PRIM	1750	0.99	91046234
3	LIST	MST	PRIM	1750	0.99	456438
4	mADJ	MST	PRIM	1750	0.99	246452
4	mINC	MST	PRIM	1750	0.99	91326956
4	LIST	MST	PRIM	1750	0.99	458794
5	mADJ	MST	PRIM	1750	0.99	246535
5	mINC	MST	PRIM	1750	0.99	91020978
5	LIST	MST	PRIM	1750	0.99	457235
6	mADJ	MST	PRIM	1750	0.99	247741
6	mINC	MST	PRIM	1750	0.99	91020499
6	LIST	MST	PRIM	1750	0.99	462721
7	mADJ	MST	PRIM	1750	0.99	246344
7	mINC	MST	PRIM	1750	0.99	91068848
7	LIST	MST	PRIM	1750	0.99	457020
8	mADJ	MST	PRIM	1750	0.99	246884
8	mINC	MST	PRIM	1750	0.99	91036965
8	LIST	MST	PRIM	1750	0.99	456292
9	mADJ	MST	PRIM	1750	0.99	253781
9	mINC	MST	PRIM	1750	0.99	90864675
9	LIST	MST	PRIM	1750	0.99	466199
10	mADJ	MST	PRIM	1750	0.99	252477
10	mINC	MST	PRIM	1750	0.99	90936231
10	LIST	MST	PRIM	1750	0.99	465741
11	mADJ	MST	PRIM	1750	0.99	247439
11	mINC	MST	PRIM	1750	0.99	99821247
11	LIST	MST	PRIM	1750	0.99	474981
12	mADJ	MST	PRIM	1750	0.99	250645
12	mINC	MST	PRIM	1750	0.99	102331385
12	LIST	MST	PRIM	1750	0.99	483886
13	mADJ	MST	PRIM	1750	0.99	251727
13	mINC	MST	PRIM	1750	0.99	102752304
13	LIST	MST	PRIM	1750	0.99	485267
14	mADJ	MST	PRIM	1750	0.99	255642
14	mINC	MST	PRIM	1750	0.99	102318460
14	LIST	MST	PRIM	1750	0.99	486606
15	mADJ	MST	PRIM	1750	0.99	250850
15	mINC	MST	PRIM	1750	0.99	102370146
15	LIST	MST	PRIM	1750	0.99	484320
16	mADJ	MST	PRIM	1750	0.99	251338
16	mINC	MST	PRIM	1750	0.99	102223166
16	LIST	MST	PRIM	1750	0.99	486412
17	mADJ	MST	PRIM	1750	0.99	251194
17	mINC	MST	PRIM	1750	0.99	101519077
17	LIST	MST	PRIM	1750	0.99	455742
18	mADJ	MST	PRIM	1750	0.99	247177
18	mINC	MST	PRIM	1750	0.99	90945265
18	LIST	MST	PRIM	1750	0.99	467678
19	mADJ	MST	PRIM	1750	0.99	248480
19	mINC	MST	PRIM	1750	0.99	91174340
19	LIST	MST	PRIM	1750	0.99	460691
20	mADJ	MST	PRIM	1750	0.99	247305
20	mINC	MST	PRIM	1750	0.99	91027600
20	LIST	MST	PRIM	1750	0.99	462087
21	mADJ	MST	PRIM	1750	0.99	245523
21	mINC	MST	PRIM	1750	0.99	91055234
21	LIST	MST	PRIM	1750	0.99	455385
22	mADJ	MST	PRIM	1750	0.99	247429
22	mINC	MST	PRIM	1750	0.99	90933669
22	LIST	MST	PRIM	1750	0.99	461698
23	mADJ	MST	PRIM	1750	0.99	248751
23	mINC	MST	PRIM	1750	0.99	90968928
23	LIST	MST	PRIM	1750	0.99	457859
24	mADJ	MST	PRIM	1750	0.99	247790
24	mINC	MST	PRIM	1750	0.99	91067386
24	LIST	MST	PRIM	1750	0.99	460936
25	mADJ	MST	PRIM	1750	0.99	249713
25	mINC	MST	PRIM	1750	0.99	90907593
25	LIST	MST	PRIM	1750	0.99	462434
26	mADJ	MST	PRIM	1750	0.99	247010
26	mINC	MST	PRIM	1750	0.99	91112636
26	LIST	MST	PRIM	1750	0.99	456739
27	mADJ	MST	PRIM	1750	0.99	246496
27	mINC	MST	PRIM	1750	0.99	94356017
27	LIST	MST	PRIM	1750	0.99	463323
28	mADJ	MST	PRIM	1750	0.99	246194
28	mINC	MST	PRIM	1750	0.99	91096185
28	LIST	MST	PRIM	1750	0.99	459110
29	mADJ	MST	PRIM	1750	0.99	246320
29	mINC	MST	PRIM	1750	0.99	90886899
29	LIST	MST	PRIM	1750	0.99	460166
30	mADJ	MST	PRIM	1750	0.99	246686
30	mINC	MST	PRIM	1750	0.99	91086564
30	LIST	MST	PRIM	1750	0.99	461233
31	mADJ	MST	PRIM	1750	0.99	247144
31	mINC	MST	PRIM	1750	0.99	91029692
31	LIST	MST	PRIM	1750	0.99	462386
32	mADJ	MST	PRIM	1750	0.99	248316
32	mINC	MST	PRIM	1750	0.99	91317291
32	LIST	MST	PRIM	1750	0.99	462579
33	mADJ	MST	PRIM	1750	0.99	247444
33	mINC	MST	PRIM	1750	0.99	91199256
33	LIST	MST	PRIM	1750	0.99	462163
34	mADJ	MST	PRIM	1750	0.99	256680
34	mINC	MST	PRIM	1750	0.99	91597670
34	LIST	MST	PRIM	1750	0.99	458450
35	mADJ	MST	PRIM	1750	0.99	248902
35	mINC	MST	PRIM	1750	0.99	90909532
35	LIST	MST	PRIM	1750	0.99	458990
36	mADJ	MST	PRIM	1750	0.99	246311
36	mINC	MST	PRIM	1750	0.99	93606738
36	LIST	MST	PRIM	1750	0.99	460442
37	mADJ	MST	PRIM	1750	0.99	247120
37	mINC	MST	PRIM	1750	0.99	90935075
37	LIST	MST	PRIM	1750	0.99	460616
38	mADJ	MST	PRIM	1750	0.99	236838
38	mINC	MST	PRIM	1750	0.99	91091819
38	LIST	MST	PRIM	1750	0.99	448300
39	mADJ	MST	PRIM	1750	0.99	247215
39	mINC	MST	PRIM	1750	0.99	91042451
39	LIST	MST	PRIM	1750	0.99	459614
40	mADJ	MST	PRIM	1750	0.99	245974
40	mINC	MST	PRIM	1750	0.99	90952541
40	LIST	MST	PRIM	1750	0.99	452967
41	mADJ	MST	PRIM	1750	0.99	240087
41	mINC	MST	PRIM	1750	0.99	91174297
41	LIST	MST	PRIM	1750	0.99	446702
42	mADJ	MST	PRIM	1750	0.99	248795
42	mINC	MST	PRIM	1750	0.99	90920887
42	LIST	MST	PRIM	1750	0.99	459063
43	mADJ	MST	PRIM	1750	0.99	237435
43	mINC	MST	PRIM	1750	0.99	91359752
43	LIST	MST	PRIM	1750	0.99	450829
44	mADJ	MST	PRIM	1750	0.99	247603
44	mINC	MST	PRIM	1750	0.99	91058542
44	LIST	MST	PRIM	1750	0.99	459506
45	mADJ	MST	PRIM	1750	0.99	247395
45	mINC	MST	PRIM	1750	0.99	90968889
45	LIST	MST	PRIM	1750	0.99	461427
46	mADJ	MST	PRIM	1750	0.99	247060
46	mINC	MST	PRIM	1750	0.99	93783003
46	LIST	MST	PRIM	1750	0.99	462146
47	mADJ	MST	PRIM	1750	0.99	248852
47	mINC	MST	PRIM	1750	0.99	91089244
47	LIST	MST	PRIM	1750	0.99	461907
48	mADJ	MST	PRIM	1750	0.99	237492
48	mINC	MST	PRIM	1750	0.99	91204789
48	LIST	MST	PRIM	1750	0.99	446844
49	mADJ	MST	PRIM	1750	0.99	248208
49	mINC	MST	PRIM	1750	0.99	91089674
49	LIST	MST	PRIM	1750	0.99	460244
